RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,650,3.7403
A,600,2.0,MC,7.55,59.95,162.5,6.67,15.0,12.0,0.68,N,700,19.222
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,2200,79.0749
F,550,2.0,MC,7.2,1.0,280.0,6.33,18.1,17.0,17.0,N,400,0.5506
F,550,2.0,CO,6.5,0.63,80.0,6.33,18.1,16.0,0.47,P,300,0.046
A,600,1.0,MC,7.01,9.5,220.0,5.83,18.52,15.0,0.1,P,30,0.736
H,600,1.0,MC,6.08,216.0,150.0,5.93,20.0,9.8,62.4,K,480,37.1433
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,400,58.2599
F,550,2.0,CO,6.8,0.5,120.0,6.33,18.1,18.0,0.47,P,700,0.12
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,450,3.1676
H,600,1.0,MC,6.32,113.5,150.0,5.93,20.0,9.8,0.01,P,240,8.5396
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,350,2.0712
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,950,93.7827
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,734,80.0201
A,300,0.5,MC,8.75,0.32,3.93,7.56,54.16,18.0,75.81,K,450,23.2583
F,600,1.0,MC,5.94,113.5,250.0,5.93,20.0,9.8,0.01,P,880,21.565
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,150,3.8743
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,400,30.837
A,600,1.0,MC,6.61,113.5,150.0,5.93,20.0,9.8,0.01,P,320,9.8304
A,450,2.0,MC,10.97,16.23,49.0,8.08,5.53,6.58,24.05,N,500,5.019
F,500,2.0,CO,8.35,216.0,164.81,6.5,12.69,14.27,0.3,N,700,62.131
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,605,89.9195
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,1200,61.5639
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,821,81.831
H,600,1.0,MC,6.32,216.0,150.0,5.93,20.0,9.8,62.4,K,560,48.2308
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,150,3.9203
H,600,1.0,MC,6.08,100.0,150.0,5.93,20.0,9.8,0.09,N,80,7.6521
A,300,0.5,MC,8.75,0.32,3.93,7.56,54.16,18.0,75.81,K,350,15.4392
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,650,8.5161
A,300,0.5,MC,8.75,0.32,3.93,7.56,54.16,18.0,75.81,K,350,15.0905
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,650,22.6109
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,550,19.1744
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,130,62.3944
A,500,2.0,CO,9.01,216.0,139.6,6.5,28.24,14.27,0.3,N,600,56.7352
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,200,0.0003
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,250,5.5039
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,150,4.2487
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,560,12.7437
F,500,2.0,CO,7.89,216.0,1454.17,6.5,13.88,14.27,0.3,N,600,63.089
F,600,1.0,MC,5.94,216.0,250.0,5.93,20.0,9.8,62.4,K,880,99.9723
H,600,1.0,MC,6.08,216.0,150.0,5.93,20.0,9.8,62.4,K,640,59.3182
A,600,1.0,MC,6.61,100.0,150.0,5.93,20.0,9.8,0.09,N,880,23.3485
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,550,10.1209
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,500,0.0006
A,600,1.0,MC,6.61,216.0,150.0,5.93,20.0,9.8,62.4,K,240,22.096
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,1000,37.8855
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,650,4.4347
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,2600,82.3789
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,450,16.0866
H,600,1.0,MC,6.32,113.5,150.0,5.93,20.0,9.8,0.01,P,80,6.975
F,500,2.0,CO,7.89,210.0,1454.17,6.5,13.88,14.27,0.3,N,700,68.4676
F,550,2.0,CO,6.5,0.63,80.0,6.33,18.1,16.0,0.47,P,400,0.0523
F,600,1.0,MC,5.94,113.5,250.0,5.93,20.0,9.8,0.01,P,800,19.3745
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,480,12.0819
H,600,1.0,MC,6.08,113.5,150.0,5.93,20.0,9.8,0.01,P,640,14.5634
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,150,8.3172
F,550,2.0,CO,6.5,0.63,80.0,6.33,18.1,16.0,0.47,P,500,0.0613
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,160,8.3143
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,350,11.6569
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,600,47.9075
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,750,8.5039
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,1800,70.5947
H,600,1.0,MC,6.08,216.0,150.0,5.93,20.0,9.8,62.4,K,560,45.0629
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,2400,82.3789
A,300,0.5,MC,8.75,0.32,3.93,7.56,54.16,18.0,75.81,K,350,18.0289
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,518,88.833
A,500,2.0,CO,9.01,216.0,139.6,6.5,28.24,14.27,0.3,N,300,30.4077
H,600,1.0,MC,6.32,113.5,150.0,5.93,20.0,9.8,0.01,P,480,11.1995
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,650,14.9324
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,173,79.7787
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,800,36.3436
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,350,7.8991
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,250,9.7368
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,200,0.4192
A,600,1.0,MC,6.61,113.5,150.0,5.93,20.0,9.8,0.01,P,80,7.1706
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,778,81.5895
F,550,2.0,MC,7.2,1.0,280.0,6.33,18.1,17.0,17.0,N,900,0.9684
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,560,13.2255
F,550,2.0,MC,7.2,1.0,280.0,6.33,18.1,17.0,17.0,N,1000,1.0127
F,500,2.0,CO,9.95,207.4,0.0,8.08,20.0,16.99,53.3,N,1000,49.8899
A,600,1.0,MC,7.01,9.5,220.0,5.83,18.52,15.0,0.1,P,80,1.1328
F,500,2.0,CO,8.62,184.4,0.0,8.08,20.0,16.99,53.3,N,1200,55.837
F,500,2.0,MC,10.11,142.9,7.36,8.08,20.0,16.99,53.3,N,200,57.1586
F,500,2.0,MC,10.11,225.4,5.5,8.08,20.0,16.99,53.3,N,1600,80.7269
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,1000,1.5233
H,600,1.0,MC,6.08,100.0,150.0,5.93,20.0,9.8,0.09,N,400,11.1671
F,550,2.0,CO,6.5,1.8,150.0,6.33,18.1,16.0,16.0,N,300,0.5606
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,550,22.4117
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,150,3.8743
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,1080,94.9296
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,150,5.6201
F,500,2.0,CO,7.89,204.0,1454.17,6.5,13.88,14.27,0.3,N,500,29.2564
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,450,18.1286
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,1200,36.2335
F,500,2.0,CO,7.89,210.0,1454.17,6.5,13.88,14.27,0.3,N,800,70.8251
F,550,2.0,CO,6.5,1.8,150.0,6.33,18.1,16.0,16.0,N,200,0.2577
A,500,2.0,CO,9.01,204.0,139.6,6.5,28.24,14.27,0.3,N,100,3.7182
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,720,16.6074
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,86,71.9316
H,600,1.0,MC,6.08,100.0,150.0,5.93,20.0,9.8,0.09,N,320,10.156
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,550,21.9136
H,600,1.0,MC,6.32,100.0,150.0,5.93,20.0,9.8,0.09,N,160,7.7965
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,150,1.9371
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,550,8.5161
H,600,0.5,MC,9.74,0.33,6.07,7.56,54.16,18.0,75.81,K,450,15.489
F,500,2.0,CO,7.89,204.0,1454.17,6.5,13.88,14.27,0.3,N,900,63.0137
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,250,7.8275
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,750,7.3343
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,734,91.4889
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,1200,41.8502
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,200,28.5242
F,600,1.0,MC,5.94,100.0,250.0,5.93,20.0,9.8,0.09,N,880,19.954
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,173,64.8692
F,500,2.0,CO,8.35,210.0,164.81,6.5,12.69,14.27,0.3,N,100,9.4303
A,300,0.5,MC,8.75,0.32,3.93,7.56,54.16,18.0,75.81,K,450,18.8756
A,600,1.0,MC,6.61,216.0,150.0,5.93,20.0,9.8,62.4,K,560,50.8706
F,500,2.0,CO,9.93,126.3,4.59,8.08,20.0,16.99,53.3,N,1600,53.5242
A,300,0.5,MC,8.75,1.95,3.93,7.56,54.16,18.0,0.87,N,150,5.6201
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,1080,82.3139
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,1400,41.9604
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,1000,0.0015
A,600,2.0,MC,7.55,59.95,162.5,6.67,15.0,12.0,0.68,N,600,13.1579
F,500,2.0,CO,8.35,216.0,164.81,6.5,12.69,14.27,0.3,N,900,78.9835
F,500,2.0,CO,9.95,207.4,0.0,8.08,20.0,16.99,53.3,N,2400,86.5639
F,550,2.0,CO,6.8,2.0,120.0,6.33,18.1,18.0,16.0,N,700,1.2356
F,550,2.0,CO,6.5,1.8,80.0,6.33,18.1,16.0,16.0,N,700,1.1982
A,600,1.0,MC,6.61,216.0,150.0,5.93,20.0,9.8,62.4,K,400,36.6153
A,500,2.0,CO,9.01,210.0,139.6,6.5,28.24,14.27,0.3,N,100,5.0098
H,600,0.5,MC,9.74,0.15,6.07,7.56,54.16,18.0,0.56,P,150,3.6793
F,550,2.0,MC,7.2,0.0,280.0,6.33,18.1,17.0,0.47,P,700,0.068
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,562,77.1227
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,346,72.5352
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,2000,58.8106
F,550,2.0,CO,6.5,0.53,150.0,6.33,18.1,16.0,0.47,P,100,0.0002
H,600,0.5,MC,9.74,0.61,6.07,7.56,54.16,18.0,0.87,N,550,9.0104
F,500,2.0,CO,8.38,115.6,3.73,8.08,20.0,16.99,53.3,N,600,31.7181
F,500,2.0,MC,10.11,225.4,5.5,8.08,20.0,16.99,53.3,N,1400,72.7974
A,450,2.0,MC,10.97,11.49,49.0,8.08,5.53,6.58,14.35,K,700,3.1805
H,600,1.0,MC,6.32,216.0,150.0,5.93,20.0,9.8,62.4,K,400,33.4475
A,500,1.0,MC,8.5,200.0,250.0,6.5,0.0,0.0,0.0,N,50,1.2
A,450,2.0,MC,10.97,15.28,49.0,8.08,5.53,6.58,7.06,P,500,0.3745
I,400,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,605,79.2958
F,550,2.0,CO,6.5,1.8,80.0,6.33,18.1,16.0,16.0,N,1000,1.5136
H,600,1.0,MC,6.32,216.0,150.0,5.93,20.0,9.8,62.4,K,240,19.4561
A,300,0.5,MC,8.75,0.11,3.93,7.56,54.16,18.0,0.56,P,650,8.5161
I,800,2.0,MC,9.5,232.0,0.92,8.63,18.0,3.32,25.0,K,475,87.9879
