RMC,T,t,FPM,ph-M,E-M,BET,ph-S,CEC,TOC,E-S,E,V,LR
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,600 ,51.9646 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,700 ,57.6621 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,800 ,67.7800 
F,500 ,2.0 ,CO,8.35 ,210.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,900 ,68.4676 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,100 ,4.5000 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,200 ,9.7847 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,300 ,15.0685 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,400 ,3.9139 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,500 ,17.5147 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,600 ,32.0939 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,700 ,38.9432 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,800 ,49.9022 
F,500 ,2.0 ,CO,8.35 ,204.00 ,164.81 ,6.50 ,12.69 ,14.27 ,0.30 ,N,900 ,55.1859 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,100 ,11.3408 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,200 ,22.3893 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,300 ,30.4077 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,400 ,35.0050 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,500 ,48.5045 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,600 ,56.7352 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,700 ,60.9582 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,800 ,65.0831 
A,500 ,2.0 ,CO,9.01 ,216.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,900 ,71.1633 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,100 ,5.0098 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,200 ,8.9391 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,300 ,12.9666 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,400 ,15.7171 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,500 ,20.5000 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,600 ,26.2279 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,700 ,43.4185 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,800 ,51.6699 
A,500 ,2.0 ,CO,9.01 ,210.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,900 ,55.7957 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,100 ,3.7182 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,200 ,5.6751 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,300 ,12.1331 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,400 ,18.0039 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,500 ,30.1370 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,600 ,35.0294 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,700 ,41.2916 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,800 ,46.9667 
A,500 ,2.0 ,CO,9.01 ,204.00 ,139.60 ,6.50 ,28.24 ,14.27 ,0.30 ,N,900 ,54.3053 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,100 ,15.1530 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,200 ,24.8331 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,300 ,37.1527 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,400 ,44.2914 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,500 ,60.1369 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,600 ,63.0890 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,700 ,68.3872 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,800 ,76.4222 
F,500 ,2.0 ,CO,7.89 ,216.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,900 ,82.5025 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,100 ,12.7701 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,200 ,20.0393 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,300 ,25.8350 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,400 ,33.6935 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,500 ,50.6876 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,600 ,60.5108 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,700 ,68.4676 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,800 ,70.8251 
F,500 ,2.0 ,CO,7.89 ,210.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,900 ,75.6385 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,100 ,4.0000 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,200 ,8.4149 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,300 ,11.7417 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,400 ,20.9393 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,500 ,29.2564 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,600 ,41.9765 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,700 ,49.4129 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,800 ,56.2622 
F,500 ,2.0 ,CO,7.89 ,204.00 ,1454.17 ,6.50 ,13.88 ,14.27 ,0.30 ,N,900 ,63.0137 
F,500 ,2.0 ,MC,10.11 ,225.40 ,5.50 ,8.08 ,20.00 ,16.99 ,53.30 ,N,200 ,58.8106 
F,500 ,2.0 ,MC,10.11 ,225.40 ,5.50 ,8.08 ,20.00 ,16.99 ,53.30 ,N,400 ,59.5815 
